Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/client_login,568,0,6,6.869377640822689,3.726200000528479,56.86500000228989,177.0,9.469210532969246,0.0,6,6,7,7,9,17,24,33,57,57,57
POST,/client_registeration,613,0,11,15.58999282214012,7.799099999829195,85.1838000016869,26.0,10.219412071672796,0.0,11,13,20,21,23,37,53,58,85,85,85
,Aggregated,1181,0,9,11.395827349669078,3.726200000528479,85.1838000016869,98.62320067739203,19.688622604642042,0.0,9,11,12,14,21,31,39,54,73,85,85
